"admin";"Der";"Bibliothekar";"3";"1234";"admin@example.org"
"aggi";"Johannes";"Ackermann";"1";"1111";"acki@ackivit�t.de"
"schnatti";"C";"S";"2";"4321";"schnatti@example.org"
"goebi";"Herr";"G.";"2";"matheisttoll";"goebi@example.org"
"feichti";"S";"F";"2";"jomei";"feichti@example.org"
"treffi";"J";"T";"2";"taicaipaiaipai";"treffi@example.org"
"groti";"J";"G";"2";"checkichecki";"groti@example.org"
"pochi";"Oliver";"Pocher";"1";"ollipochi";"op@example.org"
"amerte";"Angelo";"Merte";"2";"westerwave";"angelomerte@example.org"
"guido";"Guido";"Westerwave";"1";"myenglishistheyellowfromtheegg";"guido@guidomobil.de"
"neuersatz";"Ijon";"Tichy";"2";"4444";"ijon@raumstation.all"
